MEMBRO,PARTIDO,BASE/OPOSIÇÃO,DETALHES,ESTADO,SUPLENTE,PARTIDO SUPLENTE,ESTADO SUPLENTE,BASE/OPOSIÇÃO,BLOCO PARLAMENTAR
Alfredo Gaspar,UNIÃO,BASE,,AL,Adilson Barroso,PL,SP,Oposição,"PL, Federação PT-PCdoB-PV, UNIÃO, PP, MDB, PSD, REPUBLICANOS, PODE, Federação PSDB-CIDADANIA, PDT, PSB, AVANTE, SOLIDARIEDADE, PRD"
Amom Mandel,CIDADANIA,OPOSIÇÃO,,AM,Albuquerque,REPUBLICANOS,RR,,IDEM
André Janones,AVANTE,BASE,,MG,Arnaldo Jardim,CIDADANIA,SP,,IDEM
Arlindo Chinaglia,PT,BASE,,SP,Arthur Oliveira Maia,UNIÃO,BA,,IDEM
Augusto Coutinho,REPUBLICANOS,OPOSIÇÃO,,PE,Cezinha de Madureira,PSD,SP,,IDEM
Aécio Neves,PSDB,OPOSIÇÃO,,MG,Dandara,PT,MG,,IDEM
Baleia Rossi,MDB,BASE,,SP,Daniela Reinehr,PL,SC,,IDEM
Carlos Zarattini,PT,BASE,,SP,David Soares,UNIÃO,SP,,IDEM
Celso Russomanno,REPUBLICANOS,OPOSIÇÃO,,SP,Duda Salabert,PDT,MG,,IDEM
Claudio Cajado,PP,OPOSIÇÃO,,BA,Fausto Pinato,PP,SP,,IDEM
Damião Feliciano,UNIÃO,BASE,,PB,Fernando Monteiro,PP,PE,,IDEM
Dilceu Sperafico,PP,OPOSIÇÃO,,PR,Fábio Henrique,UNIÃO,SE,,IDEM
Eduardo Bolsonaro,PL,OPOSIÇÃO,,SP,Guilherme Uchoa,PSD,GO,,IDEM
Florentino Neto,PT,BASE,3º vice-presidente,PI,Jilmar Tatto,PT,SP,,IDEM
Flávio Nogueira,PT,BASE,,PI,Jorge Braz ,REPUBLICANOS,RJ,,IDEM
General Girão,PL,OPOSIÇÃO,1º vice-presidente,RN,Julio Lopes,PP,RJ,,IDEM
General Pazuello,PL,OPOSIÇÃO,,RN,Leur Lomanto Júnior,UNIÃO,BA,,IDEM
Gervásio Maia,PSB,BASE,,PB,Luiz Carlos Hauly,PODE,PR,,IDEM
Helio Lopes,PL,OPOSIÇÃO,,RJ,Luiz Nishimori,PSD,PR,,IDEM
Jefferson Campos,PL,OPOSIÇÃO,,SP,Luiz Philippe de O e B,PL,SP,,IDEM
José Rocha,UNIÃO,BASE,,BA,Marcos Soares,UNIÃO,RJ,,IDEM
Leonardo Monteiro,PT,BASE,,MG,Osmar Terra,UNIÃO,RJ,,IDEM
Lucas Redecker,PSDB,OPOSIÇÃO,Presidente,RS,Pastor Eurico,MDB,RS,,IDEM
Marcello Crivella,REPUBLICANOS,OPOSIÇÃO,,RJ,Paulo Abi-Ackel,PSDB,MG,,IDEM
Mario Frias,PL,OPOSIÇÃO,,SP,Pastor Marco Feliciano,PL,SP,,IDEM
Max Lemos,PDT,BASE,,RJ,Reginete Bispo,PT,RS,,IDEM
Márcio Marinho,REPUBLICANOS,OPOSIÇÃO,2º vice-presidente,BA,Sargento Fahur,PSD,PR,,IDEM
Otto Alencar Filho,PSD,BASE,,BA,Vinicius Carvalho,REPUBLICANOS,SP,,IDEM
Pastor Gil,PL,OPOSIÇÃO,,MA,Waldemar Oliveira ,AVANTE,PE,,IDEM
Robinson Faria,PL,OPOSIÇÃO,,RN,Zeca Dirceu,PT,PR,,IDEM
Rodrigo Valadares,UNIÃO,BASE,,SE,Zucco,PL,RS,,IDEM
Stefano Aguiar,PSD,BASE,,RS,deputado ,PT-PCdoB-PV,,,IDEM
Átila Lins,PSD,BASE,,AM,deputado ,PT-PCdoB-PV,,,IDEM
Deputado ,NOVO,OPOSIÇÃO,,,Deputado,MDB,,,IDEM
Deputado ,PP,OPOSIÇÃO,,,Deputado,MDB,,,IDEM
Glauber Braga,PSOL,BASE,,RJ,Fernanda Melchionna,PSOL,RS,,PSOL-REDE
Marcel Van Hattem,NOVO ,OPOSIÇÃO,vaga do PL,RS,,,,,NOVO
